number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,user_attrs_threshold,user_attrs_val_acc,state
0,0.7516534391534392,2026-06-24 19:01:17.167540,2026-06-24 19:01:17.758567,0 days 00:00:00.591027,1.2082413014948759,0.3779972601681013,0.37800932022121825,0.38460969962417735,12.207764786954149,0.015355286838886862,5,40,581,0.7394633936788146,0.39000000000000007,0.7908366533864541,COMPLETE
1,0.755162997098481,2026-06-24 19:01:17.804930,2026-06-24 19:01:18.058011,0 days 00:00:00.253081,0.4930471454041955,0.3917022549267169,0.3909124836035503,1.590786990501735,3.4646653174710598,0.005318033256270142,5,44,268,0.5849356442713105,0.33,0.796812749003984,COMPLETE
2,0.7442609660351596,2026-06-24 19:01:18.101316,2026-06-24 19:01:18.297816,0 days 00:00:00.196500,1.1538084020058665,0.6925879806965067,0.5280349921085179,1.0784015325759628,3.3327629473929488,0.03126143958203108,2,21,84,0.6465447373174766,0.47000000000000014,0.7888446215139442,COMPLETE
3,0.7550029868578256,2026-06-24 19:01:18.342178,2026-06-24 19:01:18.734107,0 days 00:00:00.391929,1.8767685726165642,0.7041986740582306,0.7828160165372797,1.5926074689495167,0.716880208213705,0.030860579740535368,2,12,380,0.8795542149013333,0.49000000000000016,0.7928286852589641,COMPLETE
4,0.7526881720430108,2026-06-24 19:01:18.778481,2026-06-24 19:01:19.002985,0 days 00:00:00.224504,0.9056632724016693,0.6312611421769909,0.42938999080000845,1.6273842728381138,3.4052591913244687,0.007206848764305203,3,11,188,0.8637281608315128,0.38000000000000006,0.7908366533864541,COMPLETE
5,0.7418288103771975,2026-06-24 19:01:19.048165,2026-06-24 19:01:19.367567,0 days 00:00:00.319402,0.06353885037249847,0.7609371175115585,0.5989499894055426,0.5336132600544056,1.0302587393796305,0.09129115219600122,5,48,294,0.8579309401710595,0.5700000000000003,0.7828685258964143,COMPLETE
6,0.751216077828981,2026-06-24 19:01:19.410856,2026-06-24 19:01:19.673529,0 days 00:00:00.262673,0.07421868779395152,0.5713480415791242,0.44046725484369037,0.790528702376337,9.641346525108922,0.016019568611465234,3,43,791,0.6427013306774357,0.38000000000000006,0.7928286852589641,COMPLETE
7,0.7415941286909028,2026-06-24 19:01:19.717730,2026-06-24 19:01:20.058992,0 days 00:00:00.341262,0.33404917086055946,0.6645035840204936,0.6534286719238085,3.8792246987611345,0.6570432809105998,0.05054562991054155,2,10,137,0.8261845713819337,0.48000000000000015,0.7888446215139442,COMPLETE
8,0.759557945041816,2026-06-24 19:01:20.103187,2026-06-24 19:01:20.372326,0 days 00:00:00.269139,5.5013989159992995,0.4625916610133735,0.4554911608578311,3.675070273856514,5.252611998161658,0.06635802485202448,4,23,404,0.5254233401144095,0.48000000000000015,0.8007968127490039,COMPLETE
9,0.756357740228708,2026-06-24 19:01:20.415500,2026-06-24 19:01:20.949487,0 days 00:00:00.533987,0.0572084495052036,0.5468977981821954,0.6854835899772804,2.661390863971771,2.420562855043932,0.007154276249073926,4,41,131,0.7245108790277985,0.4100000000000001,0.7928286852589641,COMPLETE
